;LREM  (g);Les Républicains  (g);Rassemblement National  (g);Far-Left|LFI  (g);Human Rights|EELV  (g);Centre-Right Support  (g);Socialist Support  (g);Mainstream Media  (g);Map Count
terre;-0,06;-2,24;1,33;4,78;0,61;-0,93;-0,61;-0,84;26
saint-denis;-0,06;-2,24;-0,81;4,01;1,32;-0,93;2,49;-1,87;26
rue;-0,53;-1,65;-0,77;0,21;-0,04;0,23;0,22;1,34;25
provence-alpes-côte d'azur;0,58;-0,01;5,81;-0,58;-0,77;0,23;-1,36;-1,81;25
;;;;;;;;;25
;;;;;;;;;25
;;;;;;;;;25
;;;;;;;;;25
;;;;;;;;;25
;;;;;;;;;24
;;;;;;;;;24
